afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60006627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60006635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,bel,yes
60006646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,14,5,ita,yes
60006655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,che,no
60006681,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,3,0,0,5,0,3,4,swe,yes
60006723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,isr,yes
60006754,0,0,0,0,0,0,0,3,0,3,0,2,2,0,10,2,0,2,1,0,12,9,esp,yes
60006793,0,0,0,0,0,0,0,2,6,0,4,5,3,2,13,4,3,4,6,4,6,0,esp,yes
60006795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swe,no
60006811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,che,yes
60006843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60006861,0,0,0,0,0,0,0,0,0,0,0,4,0,2,5,1,0,7,0,2,10,4,svk,yes
60006876,0,0,0,0,2,0,0,4,6,5,0,0,1,0,1,3,3,6,2,13,7,14,fin,yes
60006920,0,0,0,0,0,0,0,3,0,0,0,1,1,0,3,0,1,2,6,4,13,3,esp,yes
60006948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hrv,yes
60007008,1,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,2,16,14,23,nor,yes
60007010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,nor,yes
60007061,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,11,3,0,2,ita,yes
60007067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,0,8,ita,yes
60007108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,pol,yes
60007249,0,0,0,0,0,0,0,0,0,0,3,2,14,11,3,7,22,7,6,21,24,40,prt,yes
60007252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,esp,no
60007348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,aut,no
60007375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,che,yes
60007456,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,13,1,0,7,0,che,yes
60007466,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,7,0,0,1,0,ita,yes
60007508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hun,no
60007525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ita,no
60007592,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,4,0,0,0,0,0,5,esp,yes
60007632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,prt,no
60007643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,esp,yes
60007663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,isr,no
60007831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,esp,yes
60007844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grc,no
