afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,country,user
60004898,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,deu,yes
60004981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60005036,0,1,0,2,1,1,0,0,3,5,4,5,0,0,4,1,0,3,9,20,20,36,deu,yes
60005164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60005285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60005322,3,1,1,0,0,0,2,0,3,0,0,2,3,6,3,6,4,10,0,4,6,1,deu,yes
60005368,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,yes
60005370,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fra,yes
60005453,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,0,0,gbr,yes
60005460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60005517,0,0,0,0,0,3,2,0,14,13,3,17,5,29,13,30,18,66,46,43,44,24,gbr,yes
60005518,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,9,0,23,5,9,11,21,gbr,yes
60005542,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,5,13,0,0,9,10,deu,yes
60005634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gbr,no
60005640,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,5,0,10,4,7,fra,yes
60005667,0,0,0,0,1,1,3,2,7,3,0,7,7,1,1,8,15,8,9,2,3,0,fra,yes
60005711,1,0,4,0,3,1,5,8,0,0,4,4,5,10,17,16,25,29,25,64,26,15,fra,yes
60005766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60005807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60005851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,fra,yes
60005915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60006027,0,0,0,0,0,0,0,0,0,0,7,0,2,7,7,0,11,24,6,24,12,32,nld,yes
60006070,0,0,0,0,0,0,0,0,0,2,3,1,11,0,0,1,1,10,18,14,7,8,deu,yes
60006089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,deu,no
60006105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60006222,0,0,0,1,12,0,3,12,2,9,3,0,3,1,0,1,13,18,29,25,23,8,gbr,yes
60006253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,deu,yes
60006288,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,7,2,0,2,2,nld,yes
60006380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fra,no
60006384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,2,1,1,0,deu,yes
60006429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,4,8,2,deu,yes
60006444,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,4,0,gbr,yes
60006490,0,0,0,0,0,0,0,0,0,0,7,1,0,6,0,12,17,27,20,8,7,3,deu,yes
