per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1996,2015,2015,107712738,usa,4,1,0.25,1996,2015,NA,NA,NA,NA,NA,107712738,NA,0,NA,NA,NA,107712738
1996,2017,2017,107897830,can,3,1,0.333,1996,2017,NA,NA,NA,NA,NA,107897830,NA,0,NA,NA,NA,107897830
1996,2015,2015,107913865,usa,1,1,1,1996,2015,NA,NA,NA,NA,NA,107913865,NA,0,NA,NA,NA,107913865
1996,2009,2009,107941684,usa,3,2,0.667,1996,2009,NA,NA,NA,NA,NA,107941684,NA,0,NA,NA,NA,107941684
1996,2017,2017,108088247,can,4,1,0.25,1996,2017,NA,NA,NA,NA,NA,108088247,NA,0,NA,NA,NA,108088247
1996,2016,2016,108156394,usa,2,0,0,1996,2016,NA,NA,NA,NA,NA,108156394,NA,0,NA,NA,NA,108156394
1996,2017,2017,108156819,usa,2,0,0,1996,2017,NA,NA,NA,NA,NA,108156819,NA,0,NA,NA,NA,108156819
1996,2012,2012,108178762,usa,4,1,0.25,1996,2012,NA,NA,NA,NA,NA,108178762,NA,0,NA,NA,NA,108178762
1996,2014,2014,108369158,usa,6,3,0.5,1996,2014,NA,NA,NA,NA,NA,108369158,NA,0,NA,NA,NA,108369158
1996,2017,2017,108567977,usa,2,2,1,1996,2017,NA,NA,NA,NA,NA,108567977,NA,0,NA,NA,NA,108567977
1996,2016,2016,109412620,usa,1,0,0,1996,2016,NA,NA,NA,NA,NA,109412620,NA,0,NA,NA,NA,109412620
1996,2013,2013,109427958,usa,5,2,0.4,1996,2013,NA,NA,NA,NA,NA,109427958,NA,0,NA,NA,NA,109427958
1996,2011,2011,109464758,can,1,1,1,1996,2011,NA,NA,NA,NA,NA,109464758,NA,0,NA,NA,NA,109464758
1996,2016,2016,109583313,usa,2,0,0,1996,2016,NA,NA,NA,NA,NA,109583313,NA,0,NA,NA,NA,109583313
1996,2012,2012,109727442,usa,5,5,1,1996,2012,NA,NA,NA,NA,NA,109727442,NA,0,NA,NA,NA,109727442
1996,2017,2017,110007672,usa,4,2,0.5,1996,2017,NA,NA,NA,NA,NA,110007672,NA,0,NA,NA,NA,110007672
1996,2014,2014,110034996,usa,9,6,0.667,1996,2014,NA,NA,NA,NA,NA,110034996,NA,0,NA,NA,NA,110034996
1996,2012,2012,110236123,can,1,1,1,1996,2012,NA,NA,NA,NA,NA,110236123,NA,0,NA,NA,NA,110236123
1996,2012,2012,110925422,usa,7,5,0.714,1996,2012,NA,NA,NA,NA,NA,110925422,NA,0,NA,NA,NA,110925422
1996,2014,2014,112118127,usa,2,2,1,1996,2014,NA,NA,NA,NA,NA,112118127,NA,0,NA,NA,NA,112118127
1996,2012,2012,112123897,usa,2,1,0.5,1996,2012,NA,NA,NA,NA,NA,112123897,NA,0,NA,NA,NA,112123897
1996,2014,2014,112263703,usa,6,3,0.5,1996,2014,NA,NA,NA,NA,NA,112263703,NA,0,NA,NA,NA,112263703
1996,2017,2017,112357887,usa,8,6,0.75,1996,2017,NA,NA,NA,NA,NA,112357887,NA,0,NA,NA,NA,112357887
1996,2016,2016,112406704,usa,2,1,0.5,1996,2016,NA,NA,NA,NA,NA,112406704,NA,0,NA,NA,NA,112406704
1996,2016,2016,112571332,usa,8,2,0.25,1996,2016,NA,NA,NA,NA,NA,112571332,NA,0,NA,NA,NA,112571332
1996,2014,2014,112643491,usa,4,4,1,1996,2014,NA,NA,NA,NA,NA,112643491,NA,0,NA,NA,NA,112643491
1996,2013,2013,112655154,usa,1,0,0,1996,2013,NA,NA,NA,NA,NA,112655154,NA,0,NA,NA,NA,112655154
1996,2014,2014,112683426,can,19,1,0.053,1996,2014,NA,NA,NA,NA,NA,112683426,NA,0,NA,NA,NA,112683426
1996,2015,2015,112687070,usa,1,1,1,1996,2015,NA,NA,NA,NA,NA,112687070,NA,0,NA,NA,NA,112687070
1996,2013,2013,112977353,usa,5,0,0,1996,2013,NA,NA,NA,NA,NA,112977353,NA,0,NA,NA,NA,112977353
1996,2013,2013,113063784,usa,17,8,0.471,1996,2013,NA,NA,NA,NA,NA,113063784,NA,0,NA,NA,NA,113063784
1996,2017,2017,113140441,usa,3,2,0.667,1996,2017,NA,NA,NA,NA,NA,113140441,NA,0,NA,NA,NA,113140441
