afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
60006369,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286
60006425,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006460,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006461,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006564,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0.5,0.055555556,0,0,0.111111111
60006583,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.428571429,0
60006627,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006635,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.333333333,0,0
60006646,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,1,0.5,0.5
60006655,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006681,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0.333333333,0,0,0.6,0,0
60006723,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0
60006754,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,1,0,0.5
60006793,NA,0,0,0,0,0,0,0,0,0.166666667,0,0,0.4,0,0.5,0.153846154,0.25,0.333333333,0.5,0.5,0.5,0
60006795,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006811,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60006843,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006861,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60006876,NA,0,0,0,0,0.5,0,0,0.5,0.333333333,0.6,0,0,1,0,0,0.333333333,0,0,0,0.384615385,0.285714286
60006920,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.5,0.5,0.75,0.076923077
60006948,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007008,NA,0,1,0,0,0,0,0,0,0,0,0,0,0.285714286,0,1,0,1,0,0.5,0.0625,0.285714286
60007010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0
60007061,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0.375,0.090909091,0.333333333,0
60007067,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.8,1,0
60007108,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60007249,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.333333333,0.285714286,0.227272727,0.285714286,0.333333333,0.19047619,0.416666667
60007252,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007348,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007375,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667
60007456,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60007466,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.428571429,0,0,1
