"","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"100446264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100454649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100464401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100473840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"100483699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100495971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100497089",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100500950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100504928",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100507466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100515221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100519501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100525478",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100525529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100527413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100529026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100529094",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100530154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100548882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100553531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100558001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100559860",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100566524",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100567471",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100569339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100579384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100584332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100585232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100585544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100592611",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"100599170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100602844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100604945",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100606421",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100606438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100610458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100614903",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"100615288",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100615463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100656572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100670583",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100679154",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100685592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100694473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
"100716384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100716787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100718029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100734040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100744145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100774774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100778354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100784683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100784971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100785032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100785118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100791792",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"100793776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100811884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100816518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100824701",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"100826109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100830806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100834527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100837903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100851093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100852289",0,0,0,0,0,0,2,1,0,0,1,0,2,3,0,0,0,0,0,0,0
"100865408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100871411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100875252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"100888721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100910031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100937977",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100952966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100996117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
