"","per","toa","toa.1","id","country","inst_size","inst_mob_size","mob_share","per.1","toa.2","ego_country","pub_no","ego_net_size_no","collab_country_no","toa_old","n_refs","zebra_cited_no","zebra_cited_per","id.1","lagged_int_expo","lagged_reg_expo","lagged_nat_expo","adopted","id.2","pub_n"
"51",1996,NA,NA,"110150931","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110150931",NA,NA,NA,0,"110150931",NA
"52",1996,NA,NA,"110244100","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"110244100",NA,NA,NA,0,"110244100",NA
"53",1996,2012,2012,"110545899","bra",18,6,0.333,1996,2012,NA,NA,NA,NA,NA,NA,NA,NA,"110545899",NA,NA,NA,0,"110545899",NA
"54",1996,NA,NA,"111345054","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111345054",NA,NA,NA,0,"111345054",NA
"55",1996,2007,2007,"112165116","arg",5,3,0.6,1996,2007,NA,NA,NA,NA,NA,NA,NA,NA,"112165116",NA,NA,NA,0,"112165116",NA
"56",1996,NA,NA,"112234831","bra",5,1,0.2,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112234831",NA,NA,NA,0,"112234831",NA
"57",1996,NA,NA,"112336185","chl",6,2,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112336185",NA,NA,NA,0,"112336185",NA
"58",1996,NA,NA,"112388663","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112388663",NA,NA,NA,0,"112388663",NA
"59",1996,NA,NA,"112388704","bra",3,2,0.667,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112388704",NA,NA,NA,0,"112388704",NA
"60",1996,NA,NA,"112570120","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112570120",NA,NA,NA,0,"112570120",NA
"61",1996,NA,NA,"112584773","bra",2,1,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112584773",NA,NA,NA,0,"112584773",NA
"62",1996,2016,2016,"112584822","bra",5,2,0.4,1996,2016,NA,NA,NA,NA,NA,NA,NA,NA,"112584822",NA,NA,NA,0,"112584822",NA
"63",1996,NA,NA,"112585219","bra",4,2,0.5,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112585219",NA,NA,NA,0,"112585219",NA
"64",1996,NA,NA,"112586820","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112586820",NA,NA,NA,0,"112586820",NA
"65",1996,2011,2011,"112587036","bra",6,5,0.833,1996,2011,NA,NA,NA,NA,NA,NA,NA,NA,"112587036",NA,NA,NA,0,"112587036",NA
"66",1996,2015,2015,"112589735","bra",3,1,0.333,1996,2015,NA,NA,NA,NA,NA,NA,NA,NA,"112589735",NA,NA,NA,0,"112589735",NA
"67",1996,2012,2012,"112593589","bra",6,3,0.5,1996,2012,NA,NA,NA,NA,NA,NA,NA,NA,"112593589",NA,NA,NA,0,"112593589",NA
"68",1996,2013,2013,"112598443","bra",12,5,0.417,1996,2013,NA,NA,NA,NA,NA,NA,NA,NA,"112598443",NA,NA,NA,0,"112598443",NA
"69",1996,NA,NA,"112643559","bra",5,2,0.4,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112643559",NA,NA,NA,0,"112643559",NA
"70",1996,NA,NA,"112668476","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112668476",NA,NA,NA,0,"112668476",NA
"71",1996,NA,NA,"112670000","bra",3,1,0.333,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112670000",NA,NA,NA,0,"112670000",NA
"72",1996,NA,NA,"112733670","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112733670",NA,NA,NA,0,"112733670",NA
"73",1996,NA,NA,"112753724","chl",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112753724",NA,NA,NA,0,"112753724",NA
"74",1996,NA,NA,"112758946","bra",1,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112758946",NA,NA,NA,0,"112758946",NA
"75",1996,NA,NA,"112766537","bra",1,1,1,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112766537",NA,NA,NA,0,"112766537",NA
"76",1996,NA,NA,"112852907","bra",3,0,0,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112852907",NA,NA,NA,0,"112852907",NA
