afid,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,community
60003480,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003497,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003498,NA,0,0,0,0,0.428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003524,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.2,0.181818182,Asia-Pacific (core)
60003525,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003533,NA,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,1,0.4,0.2,0,Asia-Pacific (core)
60003608,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003640,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,Asia-Pacific (core)
60003641,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003658,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003677,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003928,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60003970,NA,0,0,0,0,0,0,0,0,0,0,0.25,0.375,0.5,0.454545455,0.222222222,0.210526316,0.125,0.333333333,0.041666667,0.422222222,0.254545455,Asia-Pacific (core)
60003977,NA,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,1,0,0,0,Asia-Pacific (core)
60004049,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Asia-Pacific (core)
60004091,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004148,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,Asia-Pacific (core)
60004225,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004283,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,Asia-Pacific (core)
60004321,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.666666667,0,0,0.5,Asia-Pacific (core)
60004395,NA,0,0,0,0,0,0,0,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004396,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004538,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,1,0,0,0.4,0,Asia-Pacific (core)
60004573,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,Asia-Pacific (core)
60004580,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004630,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia-Pacific (core)
60004679,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,Asia-Pacific (core)
60004691,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004739,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004752,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004828,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004853,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,Asia-Pacific (core)
60004879,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60004948,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.6,0,0,0,0.25,0,Asia-Pacific (core)
60004965,NA,0,0,0,0,0,0,0,0,0.25,0,0.166666667,0,0.2,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005027,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005038,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005050,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005083,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005101,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.166666667,0,0,0,Asia-Pacific (core)
60005111,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005189,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005202,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,0.555555556,0,0,Asia-Pacific (core)
60005206,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005218,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005229,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005244,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.181818182,Asia-Pacific (core)
60005245,NA,0,0,0.636363636,0,0,0.571428571,1,0.75,0.6,0.666666667,0.8,0,0,0.5,1,0,0,0,0.25,0,0,Asia-Pacific (core)
60005273,NA,0,0,0,0,0,0,0,0,0.5,0.5,0.25,0.8,0.222222222,0.25,0,0.571428571,0.2,0.15,0.0625,0.076923077,0.434782609,Asia-Pacific (core)
60005275,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005389,NA,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,Asia-Pacific (core)
60005429,NA,0,0,0,0,0.25,0,0,0.625,0,0.142857143,0.368421053,0.2,0.25,0.266666667,0.25,0.176470588,0.076923077,0.066666667,0.275862069,0.192307692,0.130434783,Asia-Pacific (core)
60005451,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005465,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005500,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0.333333333,0,0.166666667,Asia-Pacific (core)
60005516,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005531,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005555,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
60005581,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Asia-Pacific (core)
60005600,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia-Pacific (core)
