per,toa,toa.1,id,country,inst_size,inst_mob_size,mob_share,per.1,toa.2,ego_country,pub_no,ego_net_size_no,collab_country_no,toa_old,id.1,lagged_expo,adopted,lagged_int_expo,lagged_reg_expo,lagged_nat_expo,id.2
1997,1998,1998,60008772,usa,29,6,0.207,1997,1998,usa,1,2,1,1997,60008772,0,0,0,0,0,60008772
1997,1999,1999,60009254,usa,155,38,0.245,1997,1999,usa,1,1,1,1997,60009254,0,0,0,0,0,60009254
1997,1998,1998,60009470,usa,420,177,0.421,1997,1998,usa,1,1,1,1997,60009470,0,0,0,0,0,60009470
1997,2001,2001,60009697,can,37,16,0.432,1997,2001,can,1,1,1,1997,60009697,0,0,0,0,0,60009697
1997,1996,1996,60009982,usa,297,110,0.37,1997,1996,usa,7,10,4,1996,60009982,0.3,1,0.1,0,0.2,60009982
1997,1999,1999,60010261,usa,99,40,0.404,1997,1999,usa,1,1,1,1997,60010261,0,0,0,0,0,60010261
1997,2000,2000,60010833,can,7,2,0.286,1997,2000,can,1,1,1,1997,60010833,0,0,0,0,0,60010833
1997,1998,1998,60011754,usa,72,35,0.486,1997,1998,usa,1,2,1,1997,60011754,0,0,0,0,0,60011754
1997,1996,1996,60012317,usa,345,103,0.299,1997,1996,usa,12,16,5,1996,60012317,0.260869565,1,0.09,0,0.17,60012317
1997,2001,2001,60012771,usa,11,2,0.182,1997,2001,usa,1,1,1,1997,60012771,0,0,0,0,0,60012771
1997,1998,1998,60012981,usa,194,102,0.526,1997,1998,usa,1,2,1,1997,60012981,0,0,0,0,0,60012981
1997,1998,1998,60013372,usa,116,25,0.216,1997,1998,usa,1,6,1,1997,60013372,0,0,0,0,0,60013372
1997,1997,1997,60013402,usa,230,41,0.178,1997,1997,usa,2,4,1,1996,60013402,0,1,0,0,0,60013402
1997,2000,2000,60013609,usa,43,17,0.395,1997,2000,usa,1,1,1,1997,60013609,0,0,0,0,0,60013609
1997,1998,1998,60013780,usa,45,16,0.356,1997,1998,usa,1,2,1,1997,60013780,0,0,0,0,0,60013780
1997,1998,1998,60014232,usa,75,32,0.427,1997,1998,usa,1,2,1,1997,60014232,0,0,0,0,0,60014232
1997,1997,1997,60014439,usa,127,47,0.37,1997,1997,usa,1,2,2,1996,60014439,0,1,0,0,0,60014439
1997,2001,2001,60015023,usa,63,34,0.54,1997,2001,usa,1,2,2,1997,60015023,0,0,0,0,0,60015023
1997,1997,1997,60015481,usa,487,137,0.281,1997,1997,usa,6,6,1,1996,60015481,0.75,1,0.25,0,0.5,60015481
1997,2012,2012,60015615,usa,4,2,0.5,1997,2012,usa,1,1,1,1997,60015615,0,0,0,0,0,60015615
1997,2002,2002,60015849,usa,23,8,0.348,1997,2002,usa,2,3,1,1997,60015849,0,0,0,0,0,60015849
1997,1997,1997,60016619,usa,1,0,0,1997,1997,usa,2,6,1,1996,60016619,0,1,0,0,0,60016619
1997,1997,1997,60016849,can,365,188,0.515,1997,1997,can,5,4,2,1996,60016849,0,1,0,0,0,60016849
1997,2000,2000,60017672,usa,24,14,0.583,1997,2000,usa,1,1,1,1997,60017672,0,0,0,0,0,60017672
1997,1997,1997,60017777,usa,243,97,0.399,1997,1997,usa,2,3,2,1996,60017777,0,1,0,0,0,60017777
1997,2004,2004,60017994,usa,210,96,0.457,1997,2004,usa,1,2,1,1997,60017994,0,0,0,0,0,60017994
1997,2004,2004,60019000,can,24,7,0.292,1997,2004,can,1,1,1,1997,60019000,0,0,0,0,0,60019000
1997,1998,1998,60021439,usa,114,8,0.07,1997,1998,usa,1,3,1,1997,60021439,0,0,0,0,0,60021439
1997,1997,1997,60021519,usa,102,52,0.51,1997,1997,usa,1,1,1,1996,60021519,0,1,0,0,0,60021519
1997,1998,1998,60021568,usa,37,7,0.189,1997,1998,usa,1,1,1,1997,60021568,0,0,0,0,0,60021568
1997,1997,1997,60022195,usa,291,134,0.46,1997,1997,usa,4,8,5,1996,60022195,0.636363636,1,0.18,0,0.45,60022195
1997,1997,1997,60022756,usa,240,69,0.288,1997,1997,usa,1,1,1,1996,60022756,0,1,0,0,0,60022756
1997,1996,1996,60023691,usa,531,207,0.39,1997,1996,usa,1,2,1,1996,60023691,0.2,1,0,0,0.2,60023691
1997,1998,1998,60024609,usa,43,8,0.186,1997,1998,usa,3,7,1,1997,60024609,0,0,0,0,0,60024609
1997,1998,1998,60024613,usa,79,18,0.228,1997,1998,usa,2,3,1,1997,60024613,0,0,0,0,0,60024613
1997,1997,1997,60025038,usa,187,68,0.364,1997,1997,usa,2,4,3,1996,60025038,0,1,0,0,0,60025038
1997,1996,1996,60025488,usa,345,90,0.261,1997,1996,usa,3,7,2,1996,60025488,0.25,1,0,0,0.25,60025488
1997,1997,1997,60025643,usa,4,1,0.25,1997,1997,usa,3,7,1,1996,60025643,0,1,0,0,0,60025643
1997,2000,2000,60025685,usa,13,6,0.462,1997,2000,usa,1,1,1,1997,60025685,0,0,0,0,0,60025685
1997,1997,1997,60025778,usa,330,106,0.321,1997,1997,usa,3,3,1,1996,60025778,0,1,0,0,0,60025778
1997,1997,1997,60026415,usa,119,25,0.21,1997,1997,usa,1,2,1,1996,60026415,0,1,0,0,0,60026415
1997,2010,2010,60028507,usa,4,2,0.5,1997,2010,usa,1,1,1,1997,60028507,0,0,0,0,0,60028507
1997,1998,1998,60028548,usa,148,53,0.358,1997,1998,usa,1,1,1,1997,60028548,0,0,0,0,0,60028548
1997,2003,2003,60028590,usa,28,7,0.25,1997,2003,usa,1,1,1,1997,60028590,0,0,0,0,0,60028590
1997,1998,1998,60028628,usa,64,22,0.344,1997,1998,usa,1,1,1,1997,60028628,0,0,0,0,0,60028628
1997,1997,1997,60028897,can,188,82,0.436,1997,1997,can,2,5,2,1996,60028897,0,1,0,0,0,60028897
1997,1997,1997,60029251,usa,69,19,0.275,1997,1997,usa,1,3,3,1996,60029251,0,1,0,0,0,60029251
1997,1997,1997,60029445,usa,267,81,0.303,1997,1997,usa,2,2,2,1996,60029445,0,1,0,0,0,60029445
1997,1996,1996,60029929,usa,654,262,0.401,1997,1996,usa,5,10,3,1996,60029929,0.368421053,1,0.11,0,0.26,60029929
1997,1998,1998,60030112,usa,11,1,0.091,1997,1998,usa,1,6,1,1997,60030112,0,0,0,0,0,60030112
1997,1997,1997,60030319,can,153,84,0.549,1997,1997,can,4,3,2,1996,60030319,0,1,0,0,0,60030319
1997,1997,1997,60030521,usa,678,252,0.372,1997,1997,usa,1,1,1,1996,60030521,0.875,1,0.25,0,0.63,60030521
1997,1996,1996,60030612,usa,343,165,0.481,1997,1996,usa,1,2,1,1996,60030612,0.25,1,0.25,0,0,60030612
1997,1998,1998,60030835,can,209,82,0.392,1997,1998,can,3,4,4,1997,60030835,0,0,0,0,0,60030835
1997,1997,1997,60031581,usa,159,59,0.371,1997,1997,usa,1,1,1,1996,60031581,0,1,0,0,0,60031581
1997,1997,1997,60032105,usa,47,17,0.362,1997,1997,usa,4,6,2,1996,60032105,0.333333333,1,0,0,0.33,60032105
1997,1997,1997,60032179,usa,249,63,0.253,1997,1997,usa,1,3,1,1996,60032179,0,1,0,0,0,60032179
1997,1997,1997,60032838,usa,265,96,0.362,1997,1997,usa,1,3,2,1996,60032838,0,1,0,0,0,60032838
1997,1997,1997,60033182,usa,203,68,0.335,1997,1997,usa,1,2,1,1996,60033182,0,1,0,0,0,60033182
1997,1997,1997,60085927,can,17,8,0.471,1997,1997,can,5,10,4,1996,60085927,0,1,0,0,0,60085927
1997,2014,2014,60110665,usa,3,3,1,1997,2014,usa,1,1,1,1997,60110665,0,0,0,0,0,60110665
1998,2003,2003,100314434,usa,2,0,0,1998,2003,usa,1,1,1,1998,100314434,0,0,0,0,0,100314434
1998,1997,1997,60000460,usa,53,21,0.396,1998,1997,usa,2,4,2,1996,60000460,0,1,0,0,0,60000460
1998,2000,2000,60000879,usa,15,2,0.133,1998,2000,usa,1,1,1,1998,60000879,0,0,0,0,0,60000879
