"","toa","thr","diffnet_new$toa"
"60014441","Early Majority","High Thresh.",2007
"60014449","Non-Adopters","Non-Adopters",NA
"60014454","Late Majority","Low Thresh.",2014
"60014455","Late Majority","Low Thresh.",2013
"60014468","Late Majority","Low Thresh.",2015
"60014475","Late Majority","High Thresh.",2012
"60014491","Early Majority","High Thresh.",2010
"60014497","Late Majority","High Thresh.",2014
"60014504","Non-Adopters","Non-Adopters",NA
"60014510","Non-Adopters","Non-Adopters",NA
"60014519","Early Majority","Low Thresh.",2009
"60014541","Non-Adopters","Non-Adopters",NA
"60014551","Non-Adopters","Non-Adopters",NA
"60014554","Non-Adopters","Non-Adopters",NA
"60014564","Laggards","High Thresh.",2017
"60014567","Early Adopters","Very Low Thresh.",2003
"60014568","Non-Adopters","Non-Adopters",NA
"60014569","Early Majority","Very Low Thresh.",2009
"60014578","Non-Adopters","Non-Adopters",NA
"60014594","Late Majority","High Thresh.",2011
"60014596","Laggards","Very Low Thresh.",2017
"60014598","Late Majority","High Thresh.",2013
"60014603","Non-Adopters","Non-Adopters",NA
"60014611","Early Adopters","Low Thresh.",1998
"60014618","Late Majority","Very Low Thresh.",2011
"60014631","Non-Adopters","Non-Adopters",NA
"60014643","Late Majority","High Thresh.",2015
"60014652","Early Adopters","High Thresh.",1998
"60014653","Early Adopters","High Thresh.",2001
"60014655","Late Majority","High Thresh.",2012
"60014662","Late Majority","High Thresh.",2011
"60014683","Non-Adopters","Non-Adopters",NA
"60014695","Non-Adopters","Non-Adopters",NA
"60014714","Late Majority","High Thresh.",2014
"60014729","Laggards","Low Thresh.",2017
"60014739","Early Adopters","Low Thresh.",2000
"60014750","Non-Adopters","Non-Adopters",NA
"60014754","Early Adopters","Very Low Thresh.",2000
"60014756","Early Adopters","High Thresh.",2004
"60014761","Early Majority","High Thresh.",2009
"60014776","Early Adopters","High Thresh.",2002
"60014808","Late Majority","Low Thresh.",2011
"60014825","Laggards","High Thresh.",2016
"60014826","Non-Adopters","Non-Adopters",NA
"60014842","Non-Adopters","Non-Adopters",NA
"60014849","Non-Adopters","Non-Adopters",NA
"60014860","Non-Adopters","Non-Adopters",NA
"60014873","Late Majority","High Thresh.",2014
"60014877","Non-Adopters","Non-Adopters",NA
"60014878","Non-Adopters","Non-Adopters",NA
"60014891","Laggards","High Thresh.",2017
"60014906","Early Adopters","High Thresh.",2000
"60014923","Laggards","High Thresh.",2016
"60014925","Early Majority","Very Low Thresh.",2006
"60014930","Late Majority","Low Thresh.",2011
"60014933","Early Majority","Low Thresh.",2009
"60014952","Late Majority","High Thresh.",2011
"60014965","Non-Adopters","Non-Adopters",NA
"60014966","Early Adopters","Low Thresh.",2004
"60014968","Early Majority","High Thresh.",2009
"60014975","Early Majority","Low Thresh.",2007
"60014976","Late Majority","Very Low Thresh.",2015
"60014982","Early Majority","Low Thresh.",2005
"60014992","Laggards","Very Low Thresh.",2016
"60014993","Early Majority","High Thresh.",2010
"60015003","Non-Adopters","Non-Adopters",NA
"60015018","Laggards","High Thresh.",2016
"60015023","Early Adopters","High Thresh.",2001
"60015024","Non-Adopters","Non-Adopters",NA
"60015028","Non-Adopters","Non-Adopters",NA
"60015033","Non-Adopters","Non-Adopters",NA
"60015036","Non-Adopters","Non-Adopters",NA
"60015043","Early Majority","High Thresh.",2010
"60015047","Early Majority","High Thresh.",2007
"60015050","Late Majority","High Thresh.",2012
"60015057","Late Majority","High Thresh.",2014
"60015098","Laggards","High Thresh.",2017
"60015104","Non-Adopters","Non-Adopters",NA
"60015112","Early Majority","High Thresh.",2010
"60015120","Non-Adopters","Non-Adopters",NA
"60015138","Early Adopters","Low Thresh.",2003
"60015140","Early Majority","Low Thresh.",2009
"60015143","Late Majority","High Thresh.",2012
"60015150","Early Adopters","Low Thresh.",2003
"60015153","Late Majority","High Thresh.",2013
"60015159","Early Adopters","Low Thresh.",1997
"60015161","Late Majority","High Thresh.",2012
"60015179","Late Majority","High Thresh.",2013
"60015183","Early Majority","Very Low Thresh.",2006
"60015184","Early Adopters","Low Thresh.",1997
"60015186","Early Adopters","Very Low Thresh.",1997
"60015189","Non-Adopters","Non-Adopters",NA
"60015190","Laggards","Very Low Thresh.",2016
"60015192","Early Majority","Very Low Thresh.",2008
"60015196","Non-Adopters","Non-Adopters",NA
"60015197","Early Majority","Low Thresh.",2005
"60015199","Late Majority","Very Low Thresh.",2013
"60015205","Early Adopters","High Thresh.",1999
"60015206","Early Majority","Low Thresh.",2006
"60015216","Early Adopters","Low Thresh.",1999
"60015234","Late Majority","High Thresh.",2012
"60015236","Late Majority","High Thresh.",2015
"60015238","Non-Adopters","Non-Adopters",NA
"60015257","Early Majority","High Thresh.",2010
"60015272","Early Majority","Low Thresh.",2008
"60015277","Early Adopters","High Thresh.",2003
"60015278","Laggards","High Thresh.",2016
"60015296","Laggards","High Thresh.",2017
"60015300","Early Majority","High Thresh.",2007
"60015328","Non-Adopters","Non-Adopters",NA
"60015331","Early Majority","Very Low Thresh.",2009
"60015339","Laggards","High Thresh.",2016
"60015356","Late Majority","Very Low Thresh.",2014
"60015361","Late Majority","Very Low Thresh.",2013
"60015365","Non-Adopters","Non-Adopters",NA
"60015367","Laggards","Low Thresh.",2016
"60015375","Early Adopters","Very Low Thresh.",2000
"60015404","Early Majority","Low Thresh.",2006
"60015407","Laggards","Very Low Thresh.",2016
"60015418","Late Majority","Very Low Thresh.",2012
"60015457","Early Majority","Low Thresh.",2007
"60015465","Laggards","High Thresh.",2017
"60015481","Early Adopters","High Thresh.",1997
"60015483","Non-Adopters","Non-Adopters",NA
"60015487","Late Majority","Very Low Thresh.",2012
"60015527","Early Majority","High Thresh.",2008
"60015540","Early Majority","High Thresh.",2010
"60015543","Early Majority","High Thresh.",2006
"60015549","Non-Adopters","Non-Adopters",NA
"60015550","Early Adopters","Very Low Thresh.",2002
"60015564","Late Majority","High Thresh.",2013
"60015573","Early Majority","Very Low Thresh.",2008
"60015574","Early Adopters","High Thresh.",2003
"60015576","Late Majority","Very Low Thresh.",2014
"60015585","Laggards","Very Low Thresh.",2016
"60015591","Late Majority","High Thresh.",2013
"60015595","Late Majority","Very Low Thresh.",2013
"60015597","Laggards","Very Low Thresh.",2016
"60015606","Non-Adopters","Non-Adopters",NA
"60015614","Non-Adopters","Non-Adopters",NA
"60015615","Late Majority","Very Low Thresh.",2012
"60015618","Early Majority","High Thresh.",2006
"60015622","Early Majority","High Thresh.",2008
"60015627","Non-Adopters","Non-Adopters",NA
"60015639","Early Majority","High Thresh.",2008
"60015644","Late Majority","Very Low Thresh.",2013
"60015664","Late Majority","High Thresh.",2012
"60015668","Non-Adopters","Non-Adopters",NA
"60015682","Early Adopters","High Thresh.",2000
"60015698","Laggards","High Thresh.",2017
"60015706","Non-Adopters","Non-Adopters",NA
"60015708","Non-Adopters","Non-Adopters",NA
"60015717","Laggards","Very Low Thresh.",2017
"60015720","Early Majority","High Thresh.",2006
"60015725","Non-Adopters","Non-Adopters",NA
"60015741","Non-Adopters","Non-Adopters",NA
"60015742","Late Majority","High Thresh.",2015
"60015753","Early Majority","High Thresh.",2008
"60015756","Non-Adopters","Non-Adopters",NA
"60015760","Early Majority","High Thresh.",2005
"60015765","Late Majority","High Thresh.",2015
"60015772","Non-Adopters","Non-Adopters",NA
"60015781","Non-Adopters","Non-Adopters",NA
"60015798","Non-Adopters","Non-Adopters",NA
"60015811","Late Majority","High Thresh.",2014
"60015815","Early Majority","High Thresh.",2008
"60015826","Early Majority","High Thresh.",2009
"60015849","Early Adopters","High Thresh.",2002
"60015855","Laggards","Low Thresh.",2017
"60015857","Early Majority","Low Thresh.",2010
"60015875","Early Majority","Low Thresh.",2005
"60015879","Early Adopters","High Thresh.",2004
"60015881","Early Adopters","High Thresh.",2004
"60015891","Early Majority","High Thresh.",2005
"60015902","Non-Adopters","Non-Adopters",NA
"60015913","Early Adopters","Very Low Thresh.",2000
"60015920","Non-Adopters","Non-Adopters",NA
"60015941","Early Adopters","Very Low Thresh.",2001
"60015945","Non-Adopters","Non-Adopters",NA
"60015986","Late Majority","High Thresh.",2012
"60016004","Non-Adopters","Non-Adopters",NA
"60016005","Early Adopters","Very Low Thresh.",1997
"60016007","Early Adopters","Low Thresh.",2003
"60016041","Early Majority","Low Thresh.",2010
"60016051","Non-Adopters","Non-Adopters",NA
"60016053","Early Adopters","Very Low Thresh.",2004
"60016063","Non-Adopters","Non-Adopters",NA
"60016067","Non-Adopters","Non-Adopters",NA
"60016069","Laggards","High Thresh.",2017
"60016074","Late Majority","High Thresh.",2015
"60016081","Laggards","Very Low Thresh.",2016
"60016097","Non-Adopters","Non-Adopters",NA
"60016104","Non-Adopters","Non-Adopters",NA
"60016128","Early Adopters","Very Low Thresh.",2003
"60016139","Non-Adopters","Non-Adopters",NA
"60016147","Early Majority","Low Thresh.",2009
"60016173","Early Majority","High Thresh.",2006
"60016175","Non-Adopters","Non-Adopters",NA
"60016183","Non-Adopters","Non-Adopters",NA
"60016195","Non-Adopters","Non-Adopters",NA
"60016200","Late Majority","High Thresh.",2013
"60016207","Non-Adopters","Non-Adopters",NA
"60016209","Laggards","Very Low Thresh.",2016
"60016218","Early Majority","Very Low Thresh.",2010
"60016226","Non-Adopters","Non-Adopters",NA
"60016238","Non-Adopters","Non-Adopters",NA
"60016240","Non-Adopters","Non-Adopters",NA
"60016247","Late Majority","High Thresh.",2011
"60016253","Non-Adopters","Non-Adopters",NA
"60016257","Laggards","High Thresh.",2017
"60016261","Early Majority","Very Low Thresh.",2005
"60016280","Early Adopters","High Thresh.",2002
"60016295","Non-Adopters","Non-Adopters",NA
"60016297","Non-Adopters","Non-Adopters",NA
"60016305","Non-Adopters","Non-Adopters",NA
"60016326","Laggards","High Thresh.",2017
"60016329","Late Majority","High Thresh.",2015
"60016332","Late Majority","High Thresh.",2011
"60016341","Non-Adopters","Non-Adopters",NA
"60016342","Non-Adopters","Non-Adopters",NA
"60016344","Late Majority","High Thresh.",2015
"60016348","Non-Adopters","Non-Adopters",NA
"60016350","Early Adopters","High Thresh.",2003
"60016357","Late Majority","High Thresh.",2015
"60016361","Early Adopters","Very Low Thresh.",2001
"60016372","Early Majority","Low Thresh.",2007
"60016377","Non-Adopters","Non-Adopters",NA
"60016379","Early Majority","High Thresh.",2010
"60016382","Non-Adopters","Non-Adopters",NA
"60016415","Early Majority","High Thresh.",2007
"60016416","Early Majority","High Thresh.",2008
"60016418","Early Adopters","High Thresh.",2004
"60016424","Laggards","High Thresh.",2016
"60016429","Non-Adopters","Non-Adopters",NA
"60016433","Late Majority","High Thresh.",2012
"60016437","Early Adopters","High Thresh.",2000
"60016441","Non-Adopters","Non-Adopters",NA
"60016458","Early Majority","Very Low Thresh.",2007
"60016476","Late Majority","High Thresh.",2012
"60016497","Late Majority","High Thresh.",2013
"60016518","Late Majority","High Thresh.",2015
"60016521","Early Majority","High Thresh.",2010
"60016524","Laggards","High Thresh.",2016
"60016529","Early Majority","Low Thresh.",2006
"60016536","Non-Adopters","Non-Adopters",NA
"60016541","Non-Adopters","Non-Adopters",NA
"60016550","Non-Adopters","Non-Adopters",NA
"60016574","Non-Adopters","Non-Adopters",NA
"60016595","Non-Adopters","Non-Adopters",NA
"60016602","Late Majority","Low Thresh.",2014
"60016605","Early Majority","Low Thresh.",2007
"60016618","Non-Adopters","Non-Adopters",NA
"60016619","Early Adopters","Low Thresh.",1997
"60016622","Late Majority","High Thresh.",2011
"60016631","Non-Adopters","Non-Adopters",NA
"60016634","Early Majority","Very Low Thresh.",2009
"60016638","Late Majority","Very Low Thresh.",2013
"60016643","Laggards","High Thresh.",2017
"60016648","Early Adopters","High Thresh.",1997
"60016650","Non-Adopters","Non-Adopters",NA
"60016653","Early Majority","High Thresh.",2006
"60016660","Late Majority","Very Low Thresh.",2012
"60016662","Late Majority","High Thresh.",2013
"60016663","Non-Adopters","Non-Adopters",NA
"60016682","Non-Adopters","Non-Adopters",NA
"60016691","Early Majority","Low Thresh.",2009
"60016712","Late Majority","High Thresh.",2015
"60016726","Early Adopters","Very Low Thresh.",2000
"60016728","Early Majority","High Thresh.",2010
"60016730","Late Majority","High Thresh.",2011
"60016733","Early Adopters","Very Low Thresh.",2002
"60016746","Laggards","Low Thresh.",2016
"60016775","Non-Adopters","Non-Adopters",NA
"60016782","Early Adopters","Low Thresh.",1998
"60016809","Late Majority","Very Low Thresh.",2012
"60016828","Laggards","High Thresh.",2017
"60016829","Early Majority","Very Low Thresh.",2009
"60016835","Non-Adopters","Non-Adopters",NA
"60016849","Early Adopters","High Thresh.",1997
"60016850","Laggards","Very Low Thresh.",2017
"60016853","Non-Adopters","Non-Adopters",NA
"60016896","Late Majority","Very Low Thresh.",2015
"60016908","Early Adopters","High Thresh.",1997
"60016912","Early Majority","Very Low Thresh.",2006
"60016939","Early Majority","Low Thresh.",2008
"60016950","Non-Adopters","Non-Adopters",NA
"60016957","Non-Adopters","Non-Adopters",NA
"60016969","Early Adopters","Very Low Thresh.",1998
"60016983","Early Majority","Very Low Thresh.",2007
"60016987","Early Majority","Low Thresh.",2008
"60016990","Non-Adopters","Non-Adopters",NA
"60017010","Early Majority","Very Low Thresh.",2009
"60017018","Late Majority","Low Thresh.",2012
"60017031","Early Majority","High Thresh.",2006
"60017049","Non-Adopters","Non-Adopters",NA
"60017054","Late Majority","Very Low Thresh.",2012
"60017059","Early Adopters","High Thresh.",1998
"60017060","Late Majority","High Thresh.",2014
"60017080","Non-Adopters","Non-Adopters",NA
"60017093","Laggards","Low Thresh.",2017
"60017094","Laggards","Low Thresh.",2017
"60017104","Early Adopters","High Thresh.",2003
"60017107","Late Majority","Very Low Thresh.",2011
"60017129","Non-Adopters","Non-Adopters",NA
"60017130","Early Adopters","Very Low Thresh.",2003
"60017134","Early Adopters","High Thresh.",2000
"60017136","Non-Adopters","Non-Adopters",NA
"60017161","Early Adopters","High Thresh.",1997
"60017165","Non-Adopters","Non-Adopters",NA
"60017166","Non-Adopters","Non-Adopters",NA
"60017179","Early Majority","High Thresh.",2010
"60017191","Non-Adopters","Non-Adopters",NA
"60017203","Non-Adopters","Non-Adopters",NA
"60017216","Early Majority","High Thresh.",2010
"60017234","Early Majority","Low Thresh.",2010
"60017246","Early Adopters","High Thresh.",1998
"60017252","Early Majority","High Thresh.",2008
"60017258","Non-Adopters","Non-Adopters",NA
"60017260","Non-Adopters","Non-Adopters",NA
"60017272","Non-Adopters","Non-Adopters",NA
"60017275","Laggards","High Thresh.",2016
"60017293","Early Adopters","High Thresh.",2002
"60017294","Non-Adopters","Non-Adopters",NA
"60017296","Non-Adopters","Non-Adopters",NA
"60017311","Early Adopters","Very Low Thresh.",2003
"60017317","Early Adopters","Very Low Thresh.",1999
"60017323","Late Majority","Very Low Thresh.",2012
"60017326","Laggards","High Thresh.",2016
"60017336","Early Majority","High Thresh.",2006
"60017344","Late Majority","High Thresh.",2014
"60017367","Early Majority","Low Thresh.",2009
"60017373","Laggards","High Thresh.",2016
"60017375","Non-Adopters","Non-Adopters",NA
"60017391","Non-Adopters","Non-Adopters",NA
"60017396","Laggards","High Thresh.",2016
"60017411","Late Majority","Very Low Thresh.",2015
"60017412","Early Majority","High Thresh.",2005
"60017419","Late Majority","High Thresh.",2011
"60017431","Non-Adopters","Non-Adopters",NA
"60017438","Early Majority","Very Low Thresh.",2006
"60017442","Early Majority","High Thresh.",2008
"60017447","Laggards","High Thresh.",2017
"60017451","Non-Adopters","Non-Adopters",NA
"60017456","Early Majority","Very Low Thresh.",2009
"60017457","Late Majority","High Thresh.",2015
"60017466","Non-Adopters","Non-Adopters",NA
"60017480","Early Adopters","Very Low Thresh.",1998
"60017482","Early Majority","Very Low Thresh.",2009
"60017483","Early Majority","High Thresh.",2006
"60017488","Early Adopters","Very Low Thresh.",2001
"60017489","Non-Adopters","Non-Adopters",NA
"60017498","Early Adopters","Very Low Thresh.",2001
"60017511","Early Majority","Low Thresh.",2010
"60017563","Early Adopters","High Thresh.",1997
"60017585","Late Majority","High Thresh.",2012
"60017592","Early Majority","Very Low Thresh.",2009
"60017593","Non-Adopters","Non-Adopters",NA
"60017603","Non-Adopters","Non-Adopters",NA
"60017606","Late Majority","High Thresh.",2013
"60017609","Early Majority","High Thresh.",2007
"60017622","Non-Adopters","Non-Adopters",NA
"60017636","Late Majority","High Thresh.",2013
"60017656","Non-Adopters","Non-Adopters",NA
"60017672","Early Adopters","Low Thresh.",2000
"60017681","Non-Adopters","Non-Adopters",NA
"60017697","Late Majority","High Thresh.",2015
"60017705","Early Majority","High Thresh.",2010
"60017716","Early Majority","High Thresh.",2008
"60017717","Non-Adopters","Non-Adopters",NA
"60017724","Late Majority","High Thresh.",2011
"60017743","Non-Adopters","Non-Adopters",NA
"60017750","Laggards","Low Thresh.",2016
"60017763","Laggards","High Thresh.",2017
"60017766","Early Majority","High Thresh.",2005
"60017776","Non-Adopters","Non-Adopters",NA
"60017777","Early Adopters","Low Thresh.",1997
"60017780","Late Majority","High Thresh.",2013
"60017789","Non-Adopters","Non-Adopters",NA
"60017803","Late Majority","High Thresh.",2015
"60017815","Early Majority","Very Low Thresh.",2009
"60017820","Late Majority","High Thresh.",2013
"60017825","Non-Adopters","Non-Adopters",NA
"60017837","Laggards","High Thresh.",2016
"60017838","Late Majority","Very Low Thresh.",2012
"60017841","Laggards","High Thresh.",2017
"60017866","Non-Adopters","Non-Adopters",NA
"60017869","Non-Adopters","Non-Adopters",NA
"60017880","Late Majority","Very Low Thresh.",2013
"60017882","Late Majority","Low Thresh.",2011
"60017899","Early Majority","High Thresh.",2005
"60017903","Laggards","Low Thresh.",2016
"60017905","Early Majority","Low Thresh.",2010
"60017910","Non-Adopters","Non-Adopters",NA
"60017919","Non-Adopters","Non-Adopters",NA
"60017958","Non-Adopters","Non-Adopters",NA
"60017966","Non-Adopters","Non-Adopters",NA
"60017969","Early Adopters","High Thresh.",1997
"60017970","Late Majority","Low Thresh.",2015
"60017991","Late Majority","Low Thresh.",2011
"60017994","Early Adopters","High Thresh.",2004
"60018003","Non-Adopters","Non-Adopters",NA
"60018012","Non-Adopters","Non-Adopters",NA
"60018015","Non-Adopters","Non-Adopters",NA
"60018029","Early Adopters","Very Low Thresh.",2003
"60018034","Non-Adopters","Non-Adopters",NA
"60018038","Early Adopters","Very Low Thresh.",2003
"60018043","Late Majority","High Thresh.",2012
"60018055","Non-Adopters","Non-Adopters",NA
"60018084","Laggards","High Thresh.",2016
"60018134","Laggards","Very Low Thresh.",2016
"60018139","Non-Adopters","Non-Adopters",NA
"60018141","Late Majority","Low Thresh.",2011
"60018150","Non-Adopters","Non-Adopters",NA
"60018160","Non-Adopters","Non-Adopters",NA
"60018163","Laggards","Low Thresh.",2017
"60018179","Early Adopters","High Thresh.",2002
"60018205","Early Majority","High Thresh.",2007
"60018208","Early Adopters","Very Low Thresh.",2002
"60018229","Early Adopters","Very Low Thresh.",1998
"60018246","Non-Adopters","Non-Adopters",NA
"60018257","Late Majority","Low Thresh.",2015
"60018279","Laggards","High Thresh.",2017
"60018306","Laggards","Very Low Thresh.",2016
"60018308","Late Majority","High Thresh.",2015
"60018310","Early Majority","Very Low Thresh.",2010
"60018317","Early Majority","High Thresh.",2009
"60018319","Early Majority","Low Thresh.",2009
"60018326","Non-Adopters","Non-Adopters",NA
"60018347","Non-Adopters","Non-Adopters",NA
"60018352","Laggards","High Thresh.",2016
"60018353","Early Adopters","High Thresh.",2003
"60018357","Early Adopters","Very Low Thresh.",2000
"60018362","Non-Adopters","Non-Adopters",NA
"60018363","Early Majority","Low Thresh.",2010
"60018366","Late Majority","High Thresh.",2011
"60018368","Laggards","High Thresh.",2017
"60018373","Early Adopters","High Thresh.",2002
"60018380","Non-Adopters","Non-Adopters",NA
"60018382","Early Adopters","High Thresh.",1997
"60018396","Non-Adopters","Non-Adopters",NA
"60018405","Early Majority","High Thresh.",2006
"60018425","Late Majority","High Thresh.",2012
"60018429","Early Majority","High Thresh.",2008
"60018436","Non-Adopters","Non-Adopters",NA
"60018460","Non-Adopters","Non-Adopters",NA
"60018462","Early Adopters","High Thresh.",2000
"60018466","Late Majority","Very Low Thresh.",2014
"60018467","Non-Adopters","Non-Adopters",NA
"60018471","Late Majority","Very Low Thresh.",2011
"60018474","Non-Adopters","Non-Adopters",NA
"60018475","Non-Adopters","Non-Adopters",NA
"60018478","Non-Adopters","Non-Adopters",NA
"60018481","Late Majority","High Thresh.",2012
"60018486","Late Majority","Low Thresh.",2014
"60018491","Early Adopters","Very Low Thresh.",1997
"60018495","Early Majority","High Thresh.",2008
"60018505","Late Majority","High Thresh.",2013
"60018517","Non-Adopters","Non-Adopters",NA
"60018520","Non-Adopters","Non-Adopters",NA
"60018525","Non-Adopters","Non-Adopters",NA
"60018526","Non-Adopters","Non-Adopters",NA
"60018527","Late Majority","High Thresh.",2013
"60018534","Non-Adopters","Non-Adopters",NA
"60018554","Late Majority","High Thresh.",2014
"60018573","Early Adopters","Very Low Thresh.",1998
"60018589","Early Majority","Low Thresh.",2009
"60018592","Non-Adopters","Non-Adopters",NA
"60018593","Non-Adopters","Non-Adopters",NA
"60018596","Laggards","Low Thresh.",2016
"60018597","Late Majority","High Thresh.",2015
"60018600","Early Majority","High Thresh.",2005
"60018614","Laggards","High Thresh.",2017
"60018642","Early Adopters","High Thresh.",2001
"60018654","Non-Adopters","Non-Adopters",NA
"60018678","Early Majority","Very Low Thresh.",2007
"60018691","Late Majority","Very Low Thresh.",2012
"60018701","Late Majority","Very Low Thresh.",2012
"60018704","Laggards","High Thresh.",2016
"60018722","Late Majority","High Thresh.",2014
"60018733","Late Majority","Very Low Thresh.",2013
"60018738","Non-Adopters","Non-Adopters",NA
"60018741","Early Adopters","Very Low Thresh.",2002
"60018743","Non-Adopters","Non-Adopters",NA
"60018751","Non-Adopters","Non-Adopters",NA
"60018768","Non-Adopters","Non-Adopters",NA
"60018805","Early Adopters","High Thresh.",2003
"60018844","Late Majority","Very Low Thresh.",2013
"60018859","Late Majority","High Thresh.",2014
"60018861","Early Majority","Low Thresh.",2007
"60018869","Early Majority","High Thresh.",2006
"60018873","Early Majority","High Thresh.",2006
"60018894","Late Majority","High Thresh.",2011
"60018910","Early Majority","High Thresh.",2010
"60018917","Laggards","High Thresh.",2016
"60018922","Early Majority","High Thresh.",2008
"60018926","Early Adopters","Very Low Thresh.",2000
"60018934","Non-Adopters","Non-Adopters",NA
"60018939","Non-Adopters","Non-Adopters",NA
"60018940","Late Majority","Low Thresh.",2013
"60018950","Non-Adopters","Non-Adopters",NA
"60018956","Non-Adopters","Non-Adopters",NA
"60018965","Non-Adopters","Non-Adopters",NA
"60018986","Early Majority","Very Low Thresh.",2008
"60018988","Early Majority","High Thresh.",2008
"60018989","Late Majority","Very Low Thresh.",2013
"60019000","Early Adopters","Low Thresh.",2004
"60019012","Early Adopters","Very Low Thresh.",2001
"60019014","Late Majority","Low Thresh.",2014
"60019043","Non-Adopters","Non-Adopters",NA
"60019064","Non-Adopters","Non-Adopters",NA
"60019092","Early Majority","Low Thresh.",2009
"60019098","Early Majority","High Thresh.",2008
"60019102","Laggards","High Thresh.",2016
"60019105","Early Majority","Very Low Thresh.",2008
"60019118","Early Majority","High Thresh.",2009
"60019121","Early Majority","Low Thresh.",2010
"60019135","Laggards","High Thresh.",2016
"60019141","Non-Adopters","Non-Adopters",NA
"60019160","Early Adopters","Low Thresh.",2001
"60019163","Early Adopters","Very Low Thresh.",2004
"60019176","Late Majority","Very Low Thresh.",2014
"60019180","Early Majority","High Thresh.",2005
"60019181","Non-Adopters","Non-Adopters",NA
"60019187","Late Majority","High Thresh.",2015
"60019188","Laggards","High Thresh.",2016
"60019199","Laggards","Very Low Thresh.",2017
"60019201","Early Majority","Very Low Thresh.",2009
"60019205","Early Adopters","High Thresh.",2003
"60019207","Non-Adopters","Non-Adopters",NA
"60019216","Laggards","High Thresh.",2017
"60019218","Non-Adopters","Non-Adopters",NA
"60019226","Early Adopters","High Thresh.",2000
"60019268","Non-Adopters","Non-Adopters",NA
"60019270","Early Majority","High Thresh.",2008
"60019279","Non-Adopters","Non-Adopters",NA
"60019289","Early Adopters","High Thresh.",1999
"60019290","Late Majority","Very Low Thresh.",2013
"60019295","Early Adopters","Very Low Thresh.",2004
"60019303","Laggards","High Thresh.",2017
"60019331","Non-Adopters","Non-Adopters",NA
"60019337","Non-Adopters","Non-Adopters",NA
"60019338","Late Majority","High Thresh.",2011
"60019342","Early Adopters","Very Low Thresh.",2000
"60019348","Early Majority","High Thresh.",2010
"60019356","Early Adopters","High Thresh.",1998
"60019369","Late Majority","High Thresh.",2015
"60019376","Non-Adopters","Non-Adopters",NA
"60019384","Non-Adopters","Non-Adopters",NA
"60019394","Early Adopters","Very Low Thresh.",2000
"60019404","Early Majority","High Thresh.",2008
"60019415","Non-Adopters","Non-Adopters",NA
"60019424","Late Majority","Low Thresh.",2015
"60019446","Laggards","High Thresh.",2016
"60019449","Non-Adopters","Non-Adopters",NA
"60019463","Non-Adopters","Non-Adopters",NA
"60019473","Laggards","High Thresh.",2017
"60019496","Late Majority","High Thresh.",2011
"60019499","Early Adopters","Low Thresh.",2004
"60019519","Laggards","High Thresh.",2016
"60019526","Late Majority","Low Thresh.",2013
"60019533","Late Majority","High Thresh.",2015
"60019544","Early Majority","High Thresh.",2008
"60019572","Late Majority","High Thresh.",2014
"60019578","Early Majority","High Thresh.",2009
"60019579","Late Majority","High Thresh.",2012
"60019580","Non-Adopters","Non-Adopters",NA
"60019595","Early Majority","High Thresh.",2005
"60019600","Laggards","Low Thresh.",2016
"60019615","Late Majority","High Thresh.",2012
"60019616","Late Majority","Very Low Thresh.",2012
"60019619","Late Majority","High Thresh.",2012
"60019630","Late Majority","High Thresh.",2015
"60019636","Late Majority","Low Thresh.",2012
"60019647","Early Majority","High Thresh.",2008
"60019654","Non-Adopters","Non-Adopters",NA
"60019656","Late Majority","High Thresh.",2015
"60019663","Non-Adopters","Non-Adopters",NA
"60019674","Early Adopters","Very Low Thresh.",1997
"60019701","Non-Adopters","Non-Adopters",NA
"60019702","Early Majority","High Thresh.",2005
"60019713","Non-Adopters","Non-Adopters",NA
"60019716","Non-Adopters","Non-Adopters",NA
"60019721","Early Majority","High Thresh.",2009
"60019722","Early Adopters","Low Thresh.",2002
"60019739","Non-Adopters","Non-Adopters",NA
"60019740","Late Majority","High Thresh.",2015
"60019769","Early Majority","High Thresh.",2009
"60019793","Early Adopters","Low Thresh.",2003
"60019813","Non-Adopters","Non-Adopters",NA
"60019816","Early Adopters","High Thresh.",1998
"60019823","Early Adopters","High Thresh.",2004
"60019826","Late Majority","High Thresh.",2012
"60019832","Non-Adopters","Non-Adopters",NA
"60019836","Laggards","High Thresh.",2016
"60019839","Late Majority","High Thresh.",2011
"60019840","Laggards","High Thresh.",2017
"60019851","Non-Adopters","Non-Adopters",NA
"60019855","Non-Adopters","Non-Adopters",NA
"60019857","Non-Adopters","Non-Adopters",NA
"60019868","Laggards","High Thresh.",2017
"60019870","Late Majority","High Thresh.",2013
"60019875","Non-Adopters","Non-Adopters",NA
"60019905","Early Majority","High Thresh.",2005
"60019907","Late Majority","Low Thresh.",2011
"60019909","Early Adopters","Low Thresh.",2000
"60019939","Early Majority","High Thresh.",2007
"60019942","Non-Adopters","Non-Adopters",NA
"60019953","Late Majority","High Thresh.",2011
"60019967","Non-Adopters","Non-Adopters",NA
"60019984","Early Majority","High Thresh.",2009
"60019985","Early Majority","Very Low Thresh.",2008
"60019986","Non-Adopters","Non-Adopters",NA
"60019987","Late Majority","Low Thresh.",2014
"60019991","Late Majority","High Thresh.",2011
"60019996","Non-Adopters","Non-Adopters",NA
"60020004","Non-Adopters","Non-Adopters",NA
"60020016","Late Majority","Very Low Thresh.",2012
