"","toa","thr","diffnet_new$toa"
"100629271","Non-Adopters","Non-Adopters",NA
"100631802","Non-Adopters","Non-Adopters",NA
"100649718","Non-Adopters","Non-Adopters",NA
"100651322","Non-Adopters","Non-Adopters",NA
"100653691","Non-Adopters","Non-Adopters",NA
"100656572","Non-Adopters","Non-Adopters",NA
"100658346","Early Adopters","High Thresh.",2000
"100660448","Non-Adopters","Non-Adopters",NA
"100668070","Non-Adopters","Non-Adopters",NA
"100669392","Early Adopters","Low Thresh.",1999
"100670583","Non-Adopters","Non-Adopters",NA
"100674423","Non-Adopters","Non-Adopters",NA
"100678068","Non-Adopters","Non-Adopters",NA
"100678623","Non-Adopters","Non-Adopters",NA
"100679154","Non-Adopters","Non-Adopters",NA
"100680543","Non-Adopters","Non-Adopters",NA
"100685592","Non-Adopters","Non-Adopters",NA
"100690530","Non-Adopters","Non-Adopters",NA
"100694473","Late Majority","High Thresh.",2013
"100696757","Late Majority","High Thresh.",2015
"100697857","Non-Adopters","Non-Adopters",NA
"100702241","Non-Adopters","Non-Adopters",NA
"100704803","Non-Adopters","Non-Adopters",NA
"100714307","Late Majority","Very Low Thresh.",2014
"100716384","Non-Adopters","Non-Adopters",NA
"100716787","Non-Adopters","Non-Adopters",NA
"100718029","Non-Adopters","Non-Adopters",NA
"100721130","Non-Adopters","Non-Adopters",NA
"100721271","Non-Adopters","Non-Adopters",NA
"100722031","Non-Adopters","Non-Adopters",NA
"100722361","Non-Adopters","Non-Adopters",NA
"100734040","Non-Adopters","Non-Adopters",NA
"100738359","Non-Adopters","Non-Adopters",NA
"100740406","Non-Adopters","Non-Adopters",NA
"100743139","Non-Adopters","Non-Adopters",NA
"100744145","Non-Adopters","Non-Adopters",NA
"100750041","Non-Adopters","Non-Adopters",NA
"100753181","Non-Adopters","Non-Adopters",NA
"100753435","Non-Adopters","Non-Adopters",NA
"100755418","Non-Adopters","Non-Adopters",NA
"100756957","Non-Adopters","Non-Adopters",NA
"100759243","Non-Adopters","Non-Adopters",NA
"100761191","Non-Adopters","Non-Adopters",NA
"100761232","Non-Adopters","Non-Adopters",NA
"100761439","Non-Adopters","Non-Adopters",NA
"100764825","Non-Adopters","Non-Adopters",NA
"100768020","Non-Adopters","Non-Adopters",NA
"100770548","Non-Adopters","Non-Adopters",NA
"100771463","Non-Adopters","Non-Adopters",NA
"100772412","Non-Adopters","Non-Adopters",NA
"100772709","Non-Adopters","Non-Adopters",NA
"100774338","Non-Adopters","Non-Adopters",NA
"100774774","Non-Adopters","Non-Adopters",NA
"100775312","Non-Adopters","Non-Adopters",NA
"100775748","Laggards","High Thresh.",2016
"100776882","Non-Adopters","Non-Adopters",NA
"100776909","Non-Adopters","Non-Adopters",NA
"100777094","Non-Adopters","Non-Adopters",NA
"100778354","Non-Adopters","Non-Adopters",NA
"100779794","Non-Adopters","Non-Adopters",NA
"100780992","Early Majority","High Thresh.",2005
"100782491","Non-Adopters","Non-Adopters",NA
"100782498","Non-Adopters","Non-Adopters",NA
"100784683","Non-Adopters","Non-Adopters",NA
"100784971","Non-Adopters","Non-Adopters",NA
"100785032","Non-Adopters","Non-Adopters",NA
"100785118","Non-Adopters","Non-Adopters",NA
"100787557","Non-Adopters","Non-Adopters",NA
"100789509","Non-Adopters","Non-Adopters",NA
"100789789","Non-Adopters","Non-Adopters",NA
"100789842","Late Majority","High Thresh.",2011
"100789941","Non-Adopters","Non-Adopters",NA
"100790499","Non-Adopters","Non-Adopters",NA
"100791792","Late Majority","High Thresh.",2011
"100793209","Non-Adopters","Non-Adopters",NA
"100793776","Non-Adopters","Non-Adopters",NA
"100795574","Late Majority","High Thresh.",2012
"100797226","Non-Adopters","Non-Adopters",NA
"100797487","Non-Adopters","Non-Adopters",NA
"100798071","Non-Adopters","Non-Adopters",NA
"100801462","Non-Adopters","Non-Adopters",NA
"100801566","Non-Adopters","Non-Adopters",NA
"100806537","Late Majority","Low Thresh.",2015
"100808999","Non-Adopters","Non-Adopters",NA
"100811884","Non-Adopters","Non-Adopters",NA
"100815647","Non-Adopters","Non-Adopters",NA
"100816518","Non-Adopters","Non-Adopters",NA
"100817026","Non-Adopters","Non-Adopters",NA
"100818126","Non-Adopters","Non-Adopters",NA
"100820563","Non-Adopters","Non-Adopters",NA
"100821073","Non-Adopters","Non-Adopters",NA
"100821516","Non-Adopters","Non-Adopters",NA
"100822600","Early Majority","High Thresh.",2007
"100823239","Non-Adopters","Non-Adopters",NA
"100823544","Non-Adopters","Non-Adopters",NA
"100824701","Early Majority","High Thresh.",2008
"100826109","Non-Adopters","Non-Adopters",NA
"100827519","Non-Adopters","Non-Adopters",NA
"100830520","Non-Adopters","Non-Adopters",NA
"100830806","Non-Adopters","Non-Adopters",NA
"100831321","Non-Adopters","Non-Adopters",NA
"100831526","Non-Adopters","Non-Adopters",NA
"100832687","Non-Adopters","Non-Adopters",NA
"100833789","Non-Adopters","Non-Adopters",NA
"100834527","Non-Adopters","Non-Adopters",NA
"100834716","Non-Adopters","Non-Adopters",NA
"100835961","Non-Adopters","Non-Adopters",NA
"100837418","Non-Adopters","Non-Adopters",NA
"100837903","Non-Adopters","Non-Adopters",NA
"100839951","Non-Adopters","Non-Adopters",NA
"100840518","Non-Adopters","Non-Adopters",NA
"100842604","Non-Adopters","Non-Adopters",NA
"100844061","Non-Adopters","Non-Adopters",NA
"100844966","Non-Adopters","Non-Adopters",NA
"100851093","Non-Adopters","Non-Adopters",NA
"100851172","Late Majority","High Thresh.",2015
"100851417","Non-Adopters","Non-Adopters",NA
"100851848","Non-Adopters","Non-Adopters",NA
"100852289","Early Adopters","High Thresh.",2003
"100856084","Non-Adopters","Non-Adopters",NA
"100856164","Non-Adopters","Non-Adopters",NA
"100858809","Non-Adopters","Non-Adopters",NA
"100859964","Non-Adopters","Non-Adopters",NA
"100860106","Non-Adopters","Non-Adopters",NA
"100865408","Non-Adopters","Non-Adopters",NA
"100867748","Non-Adopters","Non-Adopters",NA
"100871411","Non-Adopters","Non-Adopters",NA
"100872627","Non-Adopters","Non-Adopters",NA
"100875252","Late Majority","Low Thresh.",2012
"100883213","Non-Adopters","Non-Adopters",NA
"100888721","Non-Adopters","Non-Adopters",NA
"100891526","Non-Adopters","Non-Adopters",NA
"100893996","Late Majority","High Thresh.",2014
"100895370","Non-Adopters","Non-Adopters",NA
